"id";"datetime";"dive_number";"dive_type";"depth"
2010023;2010-03-10 12:36:55;1;"Forage";566
2010023;2010-03-10 12:36:57;1;"Forage";567
2010023;2010-03-10 12:36:59;1;"Forage";567
2010023;2010-03-10 12:37:02;1;"Forage";566,5
2010023;2010-03-10 12:37:04;1;"Forage";566,5
2010023;2010-03-10 12:37:06;1;"Forage";566
2010023;2010-03-10 12:37:07;1;"Forage";566
2010023;2010-03-10 12:37:09;1;"Forage";566
2010023;2010-03-10 12:37:11;1;"Forage";565
2010023;2010-03-10 12:37:13;1;"Forage";565
2010023;2010-03-10 12:37:16;1;"Forage";566
2010023;2010-03-10 12:37:18;1;"Forage";569
2010023;2010-03-10 12:37:20;1;"Forage";571
2010023;2010-03-10 12:37:21;1;"Forage";573
2010023;2010-03-10 12:37:23;1;"Forage";573,5
2010023;2010-03-10 12:37:25;1;"Forage";575
2010023;2010-03-10 12:37:28;1;"Forage";576
2010023;2010-03-10 12:37:30;1;"Forage";576,5
2010023;2010-03-10 12:37:32;1;"Forage";577,5
2010023;2010-03-10 12:37:34;1;"Forage";580
2010023;2010-03-10 12:37:35;1;"Forage";582,5
2010023;2010-03-10 12:37:37;1;"Forage";586
2010023;2010-03-10 12:37:39;1;"Forage";589,5
2010023;2010-03-10 12:37:42;1;"Forage";591,5
2010023;2010-03-10 12:37:44;1;"Forage";593
2010023;2010-03-10 12:37:46;1;"Forage";594,5
2010023;2010-03-10 12:37:47;1;"Forage";596
2010023;2010-03-10 12:37:49;1;"Forage";598,5
2010023;2010-03-10 12:37:51;1;"Forage";599,5
2010023;2010-03-10 12:37:53;1;"Forage";602
2010023;2010-03-10 12:37:56;1;"Forage";604
2010023;2010-03-10 12:37:58;1;"Forage";605,5
2010023;2010-03-10 12:38:00;1;"Forage";605,5
2010023;2010-03-10 12:38:01;1;"Forage";605,5
2010023;2010-03-10 12:38:03;1;"Forage";605,5
2010023;2010-03-10 12:38:05;1;"Forage";605
2010023;2010-03-10 12:38:07;1;"Forage";604
2010023;2010-03-10 12:38:10;1;"Forage";603,5
2010023;2010-03-10 12:38:12;1;"Forage";603
2010023;2010-03-10 12:38:14;1;"Forage";602,5
2010023;2010-03-10 12:38:15;1;"Forage";602
2010023;2010-03-10 12:38:17;1;"Forage";601,5
2010023;2010-03-10 12:38:19;1;"Forage";600
2010023;2010-03-10 12:38:22;1;"Forage";597
2010023;2010-03-10 12:38:24;1;"Forage";594,5
2010023;2010-03-10 12:38:26;1;"Forage";592
2010023;2010-03-10 12:38:28;1;"Forage";590
2010023;2010-03-10 12:38:29;1;"Forage";587
2010023;2010-03-10 12:38:31;1;"Forage";583,5
2010023;2010-03-10 12:38:33;1;"Forage";581
2010023;2010-03-10 12:38:36;1;"Forage";579
2010023;2010-03-10 12:38:38;1;"Forage";576,5
2010023;2010-03-10 12:38:40;1;"Forage";572,5
2010023;2010-03-10 12:38:41;1;"Forage";569,5
2010023;2010-03-10 12:38:43;1;"Forage";564,5
2010023;2010-03-10 12:38:45;1;"Forage";561
2010023;2010-03-10 12:38:47;1;"Forage";557
2010023;2010-03-10 12:38:50;1;"Forage";553
2010023;2010-03-10 12:38:52;1;"Forage";549
2010023;2010-03-10 12:38:54;1;"Forage";545,5
2010023;2010-03-10 12:38:55;1;"Forage";542
2010023;2010-03-10 12:38:57;1;"Forage";538
2010023;2010-03-10 12:38:59;1;"Forage";534
2010023;2010-03-10 12:39:01;1;"Forage";530
